batter,ACI,ACI_HUNT,ACI_2K,ACI_RISP,Pitches,ACI_20,ACI_40,ACI_80,player_name,batting_team
695506,0.251,0.194,0.381,0.215,985,0.265,0.245,0.261,jac caglianone,KC
810938,0.25,0.194,0.318,0.249,775,0.321,0.301,0.31,ben williamson,TB
690976,0.25,0.193,0.397,0.214,744,0.265,0.32,0.293,alex freeland,LAD
802139,0.25,0.186,0.405,0.242,1256,0.205,0.222,0.257,jj wetherholt,STL
596019,0.25,0.205,0.352,0.259,544,0.277,0.286,0.269,francisco lindor,NYM
671739,0.25,0.264,0.24,0.249,972,0.468,0.386,0.343,michael harris,ATL
666310,0.249,0.207,0.346,0.27,473,0.282,0.254,0.263,bo naylor,CLE
672960,0.249,0.217,0.343,0.251,1276,0.205,0.281,0.283,kazuma okamoto,TOR
676914,0.249,0.146,0.404,0.236,486,0.214,0.22,0.221,davis schneider,TOR
665742,0.249,0.191,0.421,0.252,948,0.24,0.246,0.288,juan soto,NYM
701398,0.249,0.191,0.362,0.238,1350,0.308,0.31,0.265,sal stewart,CIN
676475,0.248,0.212,0.3,0.233,1156,0.155,0.236,0.257,alec burleson,STL
700932,0.248,0.203,0.318,0.266,988,0.348,0.316,0.346,kyle manzardo,CLE
683002,0.248,0.225,0.341,0.28,1353,0.203,0.26,0.251,gunnar henderson,BAL
694212,0.247,0.208,0.316,0.192,842,0.328,0.352,0.274,samuel basallo,BAL
668939,0.246,0.18,0.332,0.275,950,0.324,0.269,0.301,adley rutschman,BAL
668930,0.246,0.206,0.32,0.268,1308,0.259,0.277,0.31,brice turang,MIL
596142,0.245,0.147,0.389,0.222,607,0.255,0.308,0.292,gary sánchez,MIL
606466,0.245,0.183,0.334,0.241,1129,0.229,0.21,0.235,ketel marte,AZ
689414,0.245,0.208,0.309,0.272,1044,0.411,0.351,0.321,liam hicks,MIA
691026,0.245,0.18,0.324,0.259,1143,0.278,0.256,0.289,masyn winn,STL
687859,0.245,0.211,0.305,0.238,972,0.242,0.276,0.269,troy johnston,COL
803011,0.244,0.196,0.344,0.223,863,0.28,0.236,0.235,sam antonacci,CWS
682626,0.244,0.174,0.332,0.18,632,0.195,0.255,0.267,francisco álvarez,NYM
800050,0.243,0.214,0.348,0.26,1115,0.144,0.206,0.208,chase delauter,CLE
608070,0.243,0.193,0.329,0.251,1354,0.201,0.316,0.291,josé ramírez,CLE
543877,0.243,0.199,0.312,0.253,675,0.185,0.25,0.261,christian vázquez,HOU
681624,0.243,0.238,0.266,0.222,1309,0.334,0.288,0.305,andy pages,LAD
678882,0.242,0.203,0.292,0.228,1064,0.333,0.351,0.285,ceddanne rafaela,BOS
624413,0.242,0.176,0.358,0.257,1397,0.192,0.256,0.249,pete alonso,BAL
682818,0.242,0.187,0.319,0.277,496,0.277,0.297,0.289,yohendrick pinango,TOR
676356,0.241,0.191,0.285,0.221,514,0.245,0.263,0.286,jonny deluca,TB
805808,0.241,0.2,0.374,0.221,1335,0.374,0.233,0.23,kevin mcgonigle,DET
680776,0.241,0.178,0.321,0.262,1141,0.338,0.29,0.252,jarren duran,BOS
668227,0.241,0.193,0.344,0.272,1292,0.31,0.333,0.281,randy arozarena,SEA
808959,0.241,0.177,0.419,0.198,1176,0.276,0.246,0.253,munetaka murakami,CWS
679845,0.24,0.178,0.398,0.237,525,0.313,0.266,0.276,nick loftin,KC
683734,0.24,0.201,0.345,0.239,480,0.21,0.25,0.277,andrew vaughn,MIL
676609,0.237,0.21,0.287,0.213,914,0.274,0.218,0.244,josé caballero,NYY
670623,0.237,0.173,0.329,0.218,1285,0.136,0.159,0.217,isaac paredes,HOU
663616,0.237,0.174,0.346,0.269,861,0.202,0.283,0.299,trevor larnach,MIN
669743,0.236,0.155,0.396,0.233,513,0.215,0.223,0.212,alex call,LAD
672580,0.236,0.155,0.406,0.218,1125,0.182,0.222,0.252,maikel garcía,KC
700250,0.235,0.191,0.361,0.22,1210,0.398,0.335,0.304,ben rice,NYY
592885,0.235,0.205,0.313,0.249,831,0.316,0.307,0.267,christian yelich,MIL
805367,0.234,0.153,0.296,0.245,1289,0.269,0.224,0.236,chase meidroth,CWS
543309,0.233,0.122,0.406,0.292,574,0.252,0.261,0.247,kyle higashioka,TEX
573262,0.233,0.163,0.354,0.239,887,0.174,0.21,0.213,mike yastrzemski,ATL
687093,0.231,0.144,0.331,0.23,605,0.262,0.265,0.273,vaughn grissom,LAA
686217,0.231,0.151,0.337,0.284,1008,0.185,0.211,0.27,sal frelick,MIL
605141,0.231,0.177,0.339,0.262,714,0.239,0.234,0.233,mookie betts,LAD
687401,0.229,0.197,0.299,0.214,728,0.243,0.26,0.289,joey ortiz,MIL
